,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.594,0.713,9,0.0503,0.000328,0.0,0.114,0.328,129.958,-5.314,1,295413,4,Taylor Swift,2021-11-12,State Of Grace (Taylor's Version),state-of-grace
1,0.516,0.777,1,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047,-4.908,0,223093,4,Taylor Swift,2021-11-12,Red (Taylor's Version),red
2,0.645,0.593,2,0.0288,0.0344,0.000127,0.13,0.299,109.984,-6.506,1,242720,4,Taylor Swift,2021-11-12,Treacherous (Taylor's Version),treacherous
3,0.584,0.557,6,0.0342,0.0129,0.0,0.0576,0.767,154.008,-6.371,1,219760,4,Taylor Swift,2021-11-12,I Knew You Were Trouble (Taylor's Version),i-knew-you-were-trouble
4,0.44,0.528,0,0.0317,0.0171,0.00203,0.234,0.132,185.972,-7.809,1,329160,4,Taylor Swift,2021-11-12,All Too Well (Taylor's Version),all-too-well
5,0.642,0.695,7,0.0281,0.000443,1.02e-05,0.0753,0.642,103.984,-5.62,1,230960,4,Taylor Swift,2021-11-12,22 (Taylor's Version),22
6,0.511,0.559,4,0.0264,0.0167,0.0,0.113,0.248,145.88,-6.587,1,244587,4,Taylor Swift,2021-11-12,I Almost Do (Taylor's Version),i-almost-do
7,0.567,0.686,7,0.175,0.0317,1.86e-06,0.0732,0.716,172.014,-6.139,1,193147,4,Taylor Swift,2021-11-12,We Are Never Ever Getting Back Together (Taylor's Version),we-are-never-ever-getting-back-together
8,0.693,0.681,0,0.025,0.0848,0.0,0.0768,0.663,100.02,-7.039,1,205787,4,Taylor Swift,2021-11-12,Stay Stay Stay (Taylor's Version),stay-stay-stay
9,0.502,0.534,2,0.0278,0.0399,0.0,0.0977,0.155,94.05,-5.954,1,299080,4,Taylor Swift,2021-11-12,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),the-last-time-gary-of-snow
10,0.622,0.809,9,0.0638,0.0288,0.00218,0.109,0.511,156.894,-5.623,1,202960,4,Taylor Swift,2021-11-12,Holy Ground (Taylor's Version),holy-ground
11,0.601,0.406,7,0.0275,0.622,9.19e-05,0.133,0.232,130.059,-11.827,1,284773,3,Taylor Swift,2021-11-12,Sad Beautiful Tragic (Taylor's Version),sad-beautiful-tragic
12,0.686,0.571,4,0.05,0.066,0.0,0.0608,0.538,117.889,-7.138,1,240467,4,Taylor Swift,2021-11-12,The Lucky One (Taylor's Version),the-lucky-one
13,0.498,0.61,6,0.0363,0.271,0.0,0.223,0.474,79.918,-5.098,1,245427,4,Taylor Swift,2021-11-12,Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version),everything-has-changed-ed
14,0.628,0.685,4,0.0358,0.00324,0.0,0.18,0.605,126.014,-5.864,1,220413,4,Taylor Swift,2021-11-12,Starlight (Taylor's Version),starlight
15,0.519,0.527,7,0.0274,0.075,0.0,0.132,0.267,78.915,-7.673,1,238867,4,Taylor Swift,2021-11-12,Begin Again (Taylor's Version),begin-again
16,0.636,0.402,7,0.031,0.0494,0.0,0.107,0.208,125.952,-7.855,1,285280,4,Taylor Swift,2021-11-12,The Moment I Knew (Taylor's Version),the-moment-i-knew
