,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.764,0.376,1,0.571,0.887,1.92e-06,0.375,0.884,97.546,-12.586,1,17075,4,Eminem,2020-12-18,Alfred - Intro,alfred-intro
1,0.674,0.807,1,0.224,0.0151,3.9e-06,0.584,0.163,140.056,-3.961,1,174864,4,Eminem,2020-12-18,Black Magic (feat. Skylar Grey),black-magic
2,0.721,0.903,1,0.386,0.114,0.0,0.337,0.701,97.113,-2.968,1,339345,4,Eminem,2020-12-18,Alfred’s Theme,theme
3,0.906,0.742,9,0.11,0.107,0.00757,0.0743,0.618,120.018,-4.855,1,290136,4,Eminem,2020-12-18,Tone Deaf,tone-deaf
4,0.846,0.758,1,0.279,0.264,0.0,0.0874,0.47,134.324,-5.364,1,289915,4,Eminem,2020-12-18,Book of Rhymes (feat. DJ Premier),book-of-rhymes-dj
5,0.626,0.835,1,0.319,0.0331,0.0,0.345,0.681,172.063,-5.842,1,236719,4,Eminem,2020-12-18,Favorite Bitch (feat. Ty Dolla $ign),favorite-bitch-ty
6,0.782,0.874,8,0.276,0.0178,1.65e-06,0.444,0.655,119.959,-4.611,1,196181,4,Eminem,2020-12-18,Guns Blazing (feat. Dr. Dre & Sly Pyper),guns-blazing-sly
7,0.835,0.869,10,0.27,0.248,0.0,0.462,0.82,140.945,-4.582,0,224656,4,Eminem,2020-12-18,Gnat,gnat
8,0.733,0.82,4,0.218,0.0143,0.0,0.674,0.525,148.0,-4.758,0,222037,4,Eminem,2020-12-18,Higher,higher
9,0.862,0.789,1,0.284,0.0541,0.0,0.282,0.472,138.918,-3.551,1,207320,4,Eminem,2020-12-18,These Demons (feat. MAJ),these-demons
10,0.753,0.266,3,0.533,0.763,0.0,0.125,0.749,79.624,-11.898,0,57951,4,Eminem,2020-12-18,Key - Skit,key-skit
11,0.617,0.874,4,0.32,0.0109,0.0,0.083,0.566,81.026,-3.276,1,204521,4,Eminem,2020-12-18,She Loves Me,she-loves-me
12,0.942,0.757,11,0.256,0.0184,0.0,0.13,0.769,99.04,-6.089,1,195009,4,Eminem,2020-12-18,Killer,killer
13,0.783,0.586,11,0.204,0.159,0.0,0.389,0.312,177.024,-8.068,0,230399,4,Eminem,2020-12-18,Zeus (feat. White Gold),zeus-white
14,0.635,0.469,0,0.536,0.867,9.58e-06,0.784,0.892,85.749,-13.466,1,16355,3,Eminem,2020-12-18,Thus Far - Interlude,thus-far-interlude
15,0.714,0.763,2,0.259,0.049,0.0,0.129,0.527,84.873,-3.275,1,252579,4,Eminem,2020-12-18,Discombobulated,discombobulated
16,0.847,0.637,1,0.367,0.0258,0.000648,0.382,0.511,165.977,-5.193,1,173893,4,Eminem,2020-12-18,Premonition - Intro,premonition-intro
17,0.852,0.751,1,0.0597,0.0168,0.0,0.394,0.387,89.988,-5.793,1,216600,4,Eminem,2020-12-18,Unaccommodating (feat. Young M.A),unaccommodating-young
18,0.68,0.82,4,0.151,0.0614,0.0,0.597,0.243,140.029,-4.197,0,234653,4,Eminem,2020-12-18,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)",you-learn-royce-white
19,0.613,0.231,5,0.384,0.874,0.0,0.299,0.915,73.723,-20.464,1,30133,5,Eminem,2020-12-18,Alfred - Interlude,alfred-interlude
20,0.805,0.637,4,0.337,0.0285,0.0,0.0919,0.388,103.886,-6.29,0,177693,4,Eminem,2020-12-18,Those Kinda Nights (feat. Ed Sheeran),those-kinda-nights-ed
