,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.566,0.716,1,0.0424,0.00691,0.0,0.37,0.45,81.068,-5.733,1,207481,4,BTS,2020-11-20,Life Goes On,life-goes-on
1,0.764,0.526,11,0.212,0.0484,0.0,0.0718,0.588,114.91,-7.355,1,222243,4,BTS,2020-11-20,Fly To My Room,fly-to-my-room
2,0.547,0.605,8,0.0415,0.42,0.0,0.125,0.364,121.953,-6.755,1,254950,4,BTS,2020-11-20,Blue & Grey,blue-grey
3,0.703,0.321,4,0.884,0.864,0.0,0.908,0.544,114.822,-13.135,1,179548,4,BTS,2020-11-20,Skit,skit
4,0.787,0.669,5,0.0428,0.00782,0.0,0.123,0.57,104.994,-4.333,0,202313,4,BTS,2020-11-20,Telepathy,telepathy
5,0.731,0.845,8,0.132,0.0132,0.0,0.0782,0.484,101.085,-5.352,1,239722,4,BTS,2020-11-20,Dis-ease,
6,0.582,0.693,6,0.0465,0.114,0.0,0.13,0.341,125.904,-5.048,1,204800,4,BTS,2020-11-20,Stay,stay
7,0.746,0.765,6,0.0993,0.0112,0.0,0.0936,0.737,114.044,-4.41,0,199054,4,BTS,2020-11-20,Dynamite,dynamite
8,0.566,0.716,1,0.0424,0.00691,0.0,0.37,0.45,81.068,-5.733,1,207481,4,BTS,2020-11-20,Life Goes On,life-goes-on
9,0.764,0.526,11,0.212,0.0484,0.0,0.0718,0.588,114.91,-7.355,1,222243,4,BTS,2020-11-20,내 방을 여행하는 법,
10,0.547,0.605,8,0.0415,0.42,0.0,0.125,0.364,121.953,-6.755,1,254950,4,BTS,2020-11-20,Blue & Grey,blue-grey
11,0.703,0.321,4,0.884,0.864,0.0,0.908,0.544,114.822,-13.135,1,179548,4,BTS,2020-11-20,Skit,skit
12,0.787,0.669,5,0.0428,0.00782,0.0,0.123,0.57,104.994,-4.333,0,202313,4,BTS,2020-11-20,잠시,
13,0.731,0.845,8,0.132,0.0132,0.0,0.0782,0.484,101.085,-5.352,1,239722,4,BTS,2020-11-20,병,
14,0.582,0.693,6,0.0465,0.114,0.0,0.13,0.341,125.904,-5.048,1,204800,4,BTS,2020-11-20,Stay,stay
15,0.746,0.765,6,0.0993,0.0112,0.0,0.0936,0.737,114.044,-4.41,0,199054,4,BTS,2020-11-20,Dynamite,dynamite
16,0.566,0.716,1,0.0424,0.00691,0.0,0.37,0.45,81.068,-5.733,1,207481,4,BTS,2020-11-20,Life Goes On,life-goes-on
17,0.764,0.526,11,0.212,0.0484,0.0,0.0718,0.588,114.91,-7.355,1,222243,4,BTS,2020-11-20,내 방을 여행하는 법,
18,0.547,0.605,8,0.0415,0.42,0.0,0.125,0.364,121.953,-6.755,1,254950,4,BTS,2020-11-20,Blue & Grey,blue-grey
19,0.703,0.321,4,0.884,0.864,0.0,0.908,0.544,114.822,-13.135,1,179548,4,BTS,2020-11-20,Skit,skit
20,0.787,0.669,5,0.0428,0.00782,0.0,0.123,0.57,104.994,-4.333,0,202313,4,BTS,2020-11-20,잠시,
21,0.731,0.845,8,0.132,0.0132,0.0,0.0782,0.484,101.085,-5.352,1,239722,4,BTS,2020-11-20,병,
22,0.582,0.693,6,0.0465,0.114,0.0,0.13,0.341,125.904,-5.048,1,204800,4,BTS,2020-11-20,Stay,stay
23,0.746,0.765,6,0.0993,0.0112,0.0,0.0936,0.737,114.044,-4.41,0,199054,4,BTS,2020-11-20,Dynamite,dynamite
24,0.566,0.716,1,0.0424,0.00691,0.0,0.37,0.45,81.068,-5.733,1,207481,4,BTS,2020-11-20,Life Goes On,life-goes-on
25,0.764,0.526,11,0.212,0.0484,0.0,0.0718,0.588,114.91,-7.355,1,222243,4,BTS,2020-11-20,Fly To My Room,fly-to-my-room
26,0.547,0.605,8,0.0415,0.42,0.0,0.125,0.364,121.953,-6.755,1,254950,4,BTS,2020-11-20,Blue & Grey,blue-grey
27,0.703,0.321,4,0.884,0.864,0.0,0.908,0.544,114.822,-13.135,1,179548,4,BTS,2020-11-20,Skit,skit
28,0.787,0.669,5,0.0428,0.00782,0.0,0.123,0.57,104.994,-4.333,0,202313,4,BTS,2020-11-20,Telepathy,telepathy
29,0.731,0.845,8,0.132,0.0132,0.0,0.0782,0.484,101.085,-5.352,1,239722,4,BTS,2020-11-20,Dis-ease,
30,0.582,0.693,6,0.0465,0.114,0.0,0.13,0.341,125.904,-5.048,1,204800,4,BTS,2020-11-20,Stay,stay
31,0.746,0.765,6,0.0993,0.0112,0.0,0.0936,0.737,114.044,-4.41,0,199054,4,BTS,2020-11-20,Dynamite,dynamite
32,0.486,0.61,10,0.0348,0.582,0.791,0.144,0.0806,144.992,-12.063,1,84613,4,BTS,2020-07-14,INTRO : Calling,intro-calling
33,0.723,0.634,1,0.0542,0.0892,0.0,0.0787,0.582,129.017,-5.415,1,243267,4,BTS,2020-07-14,Stay Gold,stay-gold
34,0.673,0.855,11,0.089,0.0661,0.0,0.209,0.78,119.917,-4.65,0,230013,4,BTS,2020-07-14,Boy With Luv - Japanese ver.,boy-with-japanese
35,0.571,0.703,7,0.468,0.0163,0.0,0.262,0.238,104.067,-7.401,1,225520,4,BTS,2020-07-14,Make It Right - Japanese ver.,make-it-right-japanese
36,0.455,0.893,7,0.148,0.0218,0.0,0.358,0.588,175.992,-3.712,1,248907,4,BTS,2020-07-14,Dionysus - Japanese ver.,dionysus-japanese
37,0.705,0.754,6,0.0895,0.000331,0.0,0.129,0.422,126.014,-5.453,0,223213,4,BTS,2020-07-14,IDOL - Japanese ver.,idol-japanese
38,0.752,0.782,0,0.0297,0.04,1.04e-06,0.0841,0.901,139.994,-5.173,0,220053,4,BTS,2020-07-14,Airplane pt.2 - Japanese ver.,airplane-japanese
39,0.546,0.682,2,0.039,0.00362,0.0,0.295,0.433,154.923,-5.628,0,243533,4,BTS,2020-07-14,FAKE LOVE - Japanese ver.,fake-love-japanese
40,0.714,0.736,2,0.0819,0.166,0.0,0.133,0.536,147.037,-5.724,0,198760,4,BTS,2020-07-14,Black Swan - Japanese ver.,black-swan-japanese
41,0.598,0.821,9,0.114,0.119,0.0,0.298,0.428,105.991,-5.653,0,247987,4,BTS,2020-07-14,ON - Japanese ver.,on-japanese
42,0.608,0.644,5,0.0314,0.156,0.0,0.124,0.431,99.005,-5.588,1,292853,4,BTS,2020-07-14,Lights,lights
43,0.449,0.491,9,0.029,0.279,0.0,0.0654,0.258,139.923,-6.433,0,245147,4,BTS,2020-07-14,Your eyes tell,your-eyes-tell
44,0.523,0.455,9,0.0632,0.704,0.459,0.135,0.165,136.959,-14.26,0,76507,4,BTS,2020-07-14,OUTRO : The Journey,the-journey
45,0.469,0.87,9,0.342,0.0278,0.0,0.313,0.652,86.622,-4.475,0,171023,4,BTS,2020-02-28,Intro : Persona,intro-persona
46,0.645,0.862,11,0.0965,0.0923,0.0,0.192,0.798,119.991,-4.757,0,229773,4,BTS,2020-02-28,Boy With Luv (Feat. Halsey),boy-with
47,0.638,0.703,7,0.444,0.0104,0.0,0.132,0.261,105.766,-7.874,1,226321,4,BTS,2020-02-28,Make It Right,make-it-right
48,0.608,0.47,8,0.0428,0.226,0.0,0.0963,0.241,81.0,-6.73,1,227275,4,BTS,2020-02-28,Jamais Vu,
49,0.502,0.91,7,0.107,0.04,0.0,0.319,0.588,176.084,-2.769,1,249215,4,BTS,2020-02-28,Dionysus,dionysus
50,0.385,0.798,9,0.483,0.115,0.0,0.181,0.141,149.756,-6.439,0,259821,4,BTS,2020-02-28,Interlude : Shadow,interlude-shadow
