,danceability,energy,key,speechiness,acousticness,instrumentalness,liveness,valence,tempo,loudness,mode,duration_ms,time_signature,artist_name,release_date,song_name,song_name_formatted
0,0.387,0.253,5,0.0336,0.798,0.000159,0.0848,0.134,68.004,-8.901,1,182163,5,Adele,2021-11-19,Strangers By Nature,strangers-by-nature
1,0.604,0.366,5,0.0282,0.578,0.0,0.133,0.13,141.981,-7.519,1,224695,4,Adele,2021-11-19,Easy On Me,easy-on-me
2,0.339,0.492,1,0.0559,0.829,0.00377,0.147,0.102,151.865,-10.661,1,389107,4,Adele,2021-11-19,My Little Love,my-little-love
3,0.756,0.713,7,0.102,0.523,3.35e-06,0.248,0.59,125.064,-6.917,1,255278,4,Adele,2021-11-19,Cry Your Heart Out,cry-your-heart-out
4,0.534,0.725,1,0.046,0.091,0.0,0.0264,0.55,88.098,-3.906,1,225149,4,Adele,2021-11-19,Oh My God,oh-my-god
5,0.703,0.68,9,0.0431,0.0171,0.0,0.178,0.536,97.985,-6.118,0,210384,4,Adele,2021-11-19,Can I Get It,can-i-get-it
6,0.437,0.565,10,0.0466,0.697,0.0,0.119,0.306,115.389,-5.596,1,376169,4,Adele,2021-11-19,I Drink Wine,i-drink-wine
7,0.734,0.497,8,0.166,0.67,2.35e-05,0.194,0.307,127.989,-9.666,1,161829,3,Adele,2021-11-19,All Night Parking (with Erroll Garner) Interlude,all-night-parking-interlude
8,0.594,0.37,4,0.173,0.749,3.2e-05,0.132,0.329,145.601,-10.561,0,300248,4,Adele,2021-11-19,Woman Like Me,woman-like-me
9,0.366,0.364,0,0.0433,0.858,1.15e-05,0.165,0.459,165.902,-7.814,1,366004,4,Adele,2021-11-19,Hold On,hold-on
10,0.356,0.176,8,0.0391,0.843,0.0,0.231,0.289,170.425,-8.291,1,403962,1,Adele,2021-11-19,To Be Loved,to-be-loved
11,0.269,0.591,10,0.0416,0.453,0.000695,0.0702,0.228,183.793,-5.79,0,403044,4,Adele,2021-11-19,Love Is A Game,love-is-a-game
12,0.578,0.43,5,0.0305,0.33,0.0,0.0854,0.288,78.991,-6.134,0,295502,4,Adele,2015-11-20,Hello,hello
13,0.688,0.533,6,0.0865,0.0355,3.48e-06,0.172,0.567,164.069,-8.363,0,223079,4,Adele,2015-11-20,Send My Love (To Your New Lover),send-my-love-your-new
14,0.382,0.578,5,0.047,0.00982,1.44e-05,0.433,0.156,113.072,-4.246,1,348625,4,Adele,2015-11-20,I Miss You,i-miss-you
